代码	名称	收件人
ST	首都图书馆	2137576215@qq.com
XC,XW	西城区第一图书馆,西城区第二图书馆	2137576215@qq.com
DC,CW	东城区图书馆,东城区第二图书馆	2137576215@qq.com
CY	朝阳区图书馆	2137576215@qq.com
SJ,SJE	石景山图书馆,石景山图书馆少儿馆	2137576215@qq.com
FT	丰台区图书馆	2137576215@qq.com
TZ	通州区图书馆	2137576215@qq.com
SY	顺义区图书馆	2137576215@qq.com
MY	密云区图书馆	2137576215@qq.com
XCE	西城区青少儿图书馆	2137576215@qq.com
FS	房山中心图书服务部	2137576215@qq.com
HD	海淀区图书馆	2137576215@qq.com
MT	门头沟区图书馆	2137576215@qq.com
DX	大兴区图书馆	2137576215@qq.com
CP	昌平区图书馆	2137576215@qq.com
PG	平谷区图书馆	2137576215@qq.com
YQ	延庆区图书馆	2137576215@qq.com
HR	怀柔区图书馆	2137576215@qq.com
FTE	丰台少儿图书馆	2137576215@qq.com
YS	燕山区图书馆	2137576215@qq.com
